STYLE;COLOUR;BOX;SIZES;ASSORTMENT;BAR CODE;PROVIDER;
GOAL                ;WHS       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333576031720705KR ;995       ;
GOAL                ;WHS       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333576031720705KR ;995       ;
GOAL                ;WHS       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333576031720705KR ;995       ;
GOAL                ;WHS       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333576031720705KR ;995       ;
GOAL                ;WHS       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333576031720705KR ;995       ;
GOAL                ;WHS       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333576031720705KR ;995       ;
GOAL                ;WHS       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333576031720705KR ;995       ;
GOAL                ;WHS       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333576031720705KR ;995       ;
GOAL                ;WHS       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333576031720705KR ;995       ;
GOAL                ;WHS       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333576031720705KR ;995       ;
GOAL                ;WHS       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333576031720705KR ;995       ;
GOAL                ;SLV       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460333576031720910I  ;995       ;
GOAL                ;SLV       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460333576031720910I  ;995       ;
GOAL                ;SLV       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460333576031720910I  ;995       ;
GOAL                ;SLV       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460333576031720910I  ;995       ;
GOAL                ;SLV       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460333576031720910I  ;995       ;
GOAL                ;SLV       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460333576031720910I  ;995       ;
GOAL                ;SLV       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333576031720910KR ;995       ;
GOAL                ;SLV       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333576031720910KR ;995       ;
GOAL                ;SLV       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333576031720910KR ;995       ;
GOAL                ;SLV       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333576031720910KR ;995       ;
GOAL                ;SLV       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333576031720910KR ;995       ;
GOAL                ;SLV       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333576031720910KR ;995       ;
GOAL                ;SLV       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333576031720910KR ;995       ;
GOAL                ;SLV       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333576031720910KR ;995       ;
GOAL                ;SLV       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333576031720910KR ;995       ;
GOAL                ;SLV       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333576031720910KR ;995       ;
