STYLE;COLOUR;BOX;SIZES;ASSORTMENT;BAR CODE;PROVIDER;
GOAL                ;DBR       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776032980201I  ;995       ;
GOAL                ;DBR       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776032980201I  ;995       ;
GOAL                ;DBR       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776032980201I  ;995       ;
GOAL                ;DBR       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776032980201I  ;995       ;
GOAL                ;DBR       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776032980201I  ;995       ;
GOAL                ;DBR       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776032980201I  ;995       ;
GOAL                ;DBR       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776032980201I  ;995       ;
GOAL                ;DBR       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776032980201I  ;995       ;
GOAL                ;DBR       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776032980201I  ;995       ;
GOAL                ;DBR       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776032980201I  ;995       ;
GOAL                ;DBR       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776032980201M  ;995       ;
GOAL                ;DBR       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776032980201M  ;995       ;
GOAL                ;DBR       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776032980201M  ;995       ;
GOAL                ;DBR       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776032980201M  ;995       ;
GOAL                ;DBR       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776032980201M  ;995       ;
GOAL                ;DBR       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776032980201M  ;995       ;
GOAL                ;DBR       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776032980201M  ;995       ;
GOAL                ;DBR       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776032980201M  ;995       ;
GOAL                ;DBR       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776032980201M  ;995       ;
GOAL                ;DBR       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776032980201M  ;995       ;
GOAL                ;DBR       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776032980201M  ;995       ;
GOAL                ;DBR       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776032980201M  ;995       ;
GOAL                ;DBR       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776032980201N  ;995       ;
GOAL                ;DBR       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776032980201N  ;995       ;
GOAL                ;DBR       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776032980201N  ;995       ;
GOAL                ;DBR       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776032980201N  ;995       ;
GOAL                ;DBR       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776032980201N  ;995       ;
GOAL                ;DBR       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776032980201N  ;995       ;
GOAL                ;DBR       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776032980201N  ;995       ;
GOAL                ;DBR       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776032980201N  ;995       ;
GOAL                ;DBR       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776032980201N  ;995       ;
GOAL                ;DBR       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776032980201N  ;995       ;
GOAL                ;DBR       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776032980201N  ;995       ;
GOAL                ;DBR       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776032980201N  ;995       ;
GOAL                ;DBR       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776032980201N  ;995       ;
GOAL                ;DBR       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776032980201N  ;995       ;
GOAL                ;DBR       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776032980201N  ;995       ;
GOAL                ;DBR       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776032980201N  ;995       ;
GOAL                ;DBR       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776032980201N  ;995       ;
GOAL                ;DBR       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776032980201N  ;995       ;
GOAL                ;DBR       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776032980201N  ;995       ;
GOAL                ;DBR       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776032980201N  ;995       ;
GOAL                ;MOC       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776034010210I  ;995       ;
GOAL                ;MOC       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776034010210I  ;995       ;
GOAL                ;MOC       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776034010210I  ;995       ;
GOAL                ;MOC       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776034010210I  ;995       ;
GOAL                ;MOC       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776034010210I  ;995       ;
GOAL                ;MOC       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776034010210I  ;995       ;
GOAL                ;MOC       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776034010210I  ;995       ;
GOAL                ;MOC       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776034010210I  ;995       ;
GOAL                ;MOC       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776034010210I  ;995       ;
GOAL                ;MOC       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776034010210I  ;995       ;
GOAL                ;MOC       ;L  ;37 38 39 40                             ;1 2 2 1 006                             ;017460318776034010210L  ;995       ;
GOAL                ;MOC       ;L  ;37 38 39 40                             ;1 2 2 1 006                             ;017460318776034010210L  ;995       ;
GOAL                ;MOC       ;L  ;37 38 39 40                             ;1 2 2 1 006                             ;017460318776034010210L  ;995       ;
GOAL                ;MOC       ;L  ;37 38 39 40                             ;1 2 2 1 006                             ;017460318776034010210L  ;995       ;
GOAL                ;MOC       ;L  ;37 38 39 40                             ;1 2 2 1 006                             ;017460318776034010210L  ;995       ;
GOAL                ;MOC       ;L  ;37 38 39 40                             ;1 2 2 1 006                             ;017460318776034010210L  ;995       ;
GOAL                ;MOC       ;L  ;37 38 39 40                             ;1 2 2 1 006                             ;017460318776034010210L  ;995       ;
GOAL                ;MOC       ;L  ;37 38 39 40                             ;1 2 2 1 006                             ;017460318776034010210L  ;995       ;
GOAL                ;MOC       ;L  ;37 38 39 40                             ;1 2 2 1 006                             ;017460318776034010210L  ;995       ;
GOAL                ;MOC       ;L  ;37 38 39 40                             ;1 2 2 1 006                             ;017460318776034010210L  ;995       ;
GOAL                ;MOC       ;L  ;37 38 39 40                             ;1 2 2 1 006                             ;017460318776034010210L  ;995       ;
GOAL                ;MOC       ;L  ;37 38 39 40                             ;1 2 2 1 006                             ;017460318776034010210L  ;995       ;
GOAL                ;MOC       ;L  ;37 38 39 40                             ;1 2 2 1 006                             ;017460318776034010210L  ;995       ;
GOAL                ;MOC       ;L  ;37 38 39 40                             ;1 2 2 1 006                             ;017460318776034010210L  ;995       ;
GOAL                ;MOC       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776034010210M  ;995       ;
GOAL                ;MOC       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776034010210M  ;995       ;
GOAL                ;MOC       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776034010210M  ;995       ;
GOAL                ;MOC       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776034010210M  ;995       ;
GOAL                ;MOC       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776034010210M  ;995       ;
GOAL                ;MOC       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776034010210M  ;995       ;
GOAL                ;MOC       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776034010210M  ;995       ;
GOAL                ;MOC       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776034010210M  ;995       ;
GOAL                ;MOC       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776034010210M  ;995       ;
GOAL                ;MOC       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776034010210M  ;995       ;
GOAL                ;MOC       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776034010210M  ;995       ;
GOAL                ;MOC       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776034010210N  ;995       ;
GOAL                ;MOC       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776034010210N  ;995       ;
GOAL                ;MOC       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776034010210N  ;995       ;
GOAL                ;MOC       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776034010210N  ;995       ;
GOAL                ;MOC       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776034010210N  ;995       ;
GOAL                ;MOC       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776034010210N  ;995       ;
GOAL                ;MOC       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776034010210N  ;995       ;
GOAL                ;MOC       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776034010210N  ;995       ;
GOAL                ;MOC       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776034010210N  ;995       ;
GOAL                ;MOC       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776034010210N  ;995       ;
GOAL                ;COG       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776034010350I  ;995       ;
GOAL                ;COG       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776034010350I  ;995       ;
GOAL                ;COG       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776034010350I  ;995       ;
GOAL                ;COG       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776034010350I  ;995       ;
GOAL                ;COG       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776034010350I  ;995       ;
GOAL                ;COG       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776034010350I  ;995       ;
GOAL                ;COG       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776034010350I  ;995       ;
GOAL                ;COG       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776034010350I  ;995       ;
GOAL                ;COG       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776034010350I  ;995       ;
GOAL                ;COG       ;I  ;36 37 38 39 40 41                       ;1 2 3 3 2 1 012                         ;017460318776034010350I  ;995       ;
GOAL                ;COG       ;L  ;37 38 39 40                             ;1 2 2 1 006                             ;017460318776034010350L  ;995       ;
GOAL                ;COG       ;L  ;37 38 39 40                             ;1 2 2 1 006                             ;017460318776034010350L  ;995       ;
GOAL                ;COG       ;L  ;37 38 39 40                             ;1 2 2 1 006                             ;017460318776034010350L  ;995       ;
GOAL                ;COG       ;L  ;37 38 39 40                             ;1 2 2 1 006                             ;017460318776034010350L  ;995       ;
GOAL                ;COG       ;L  ;37 38 39 40                             ;1 2 2 1 006                             ;017460318776034010350L  ;995       ;
GOAL                ;COG       ;L  ;37 38 39 40                             ;1 2 2 1 006                             ;017460318776034010350L  ;995       ;
GOAL                ;COG       ;L  ;37 38 39 40                             ;1 2 2 1 006                             ;017460318776034010350L  ;995       ;
GOAL                ;COG       ;L  ;37 38 39 40                             ;1 2 2 1 006                             ;017460318776034010350L  ;995       ;
GOAL                ;COG       ;L  ;37 38 39 40                             ;1 2 2 1 006                             ;017460318776034010350L  ;995       ;
GOAL                ;COG       ;L  ;37 38 39 40                             ;1 2 2 1 006                             ;017460318776034010350L  ;995       ;
GOAL                ;COG       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776034010350M  ;995       ;
GOAL                ;COG       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776034010350M  ;995       ;
GOAL                ;COG       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776034010350M  ;995       ;
GOAL                ;COG       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776034010350M  ;995       ;
GOAL                ;COG       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776034010350M  ;995       ;
GOAL                ;COG       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776034010350M  ;995       ;
GOAL                ;COG       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776034010350M  ;995       ;
GOAL                ;COG       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776034010350M  ;995       ;
GOAL                ;COG       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776034010350M  ;995       ;
GOAL                ;COG       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776034010350M  ;995       ;
GOAL                ;COG       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776034010350M  ;995       ;
GOAL                ;COG       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776034010350M  ;995       ;
GOAL                ;COG       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776034010350M  ;995       ;
GOAL                ;COG       ;M  ;36 37 38 39 40                          ;1 1 2 1 1 006                           ;017460318776034010350M  ;995       ;
GOAL                ;COG       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776034010350N  ;995       ;
GOAL                ;COG       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776034010350N  ;995       ;
GOAL                ;COG       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776034010350N  ;995       ;
GOAL                ;COG       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776034010350N  ;995       ;
GOAL                ;COG       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776034010350N  ;995       ;
GOAL                ;COG       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776034010350N  ;995       ;
GOAL                ;COG       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776034010350N  ;995       ;
GOAL                ;COG       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776034010350N  ;995       ;
GOAL                ;COG       ;N  ;37 38 39 40 41                          ;1 1 2 1 1 006                           ;017460318776034010350N  ;995       ;
